engine	clones	pattern
ENGM_DFA	rx_search.part.0	needle
ENGM_VM	none	(alpha|beta|gamma|delta|epsilon)
ENGM_DFA	rx_search.part.0	[a-z0-9._]+@[a-z0-9]+\.[a-z]{2,4}
ENGM_DFA	rx_search.part.0	a*b
ENGM_DFA	rx_search.part.0	[01]*1[01]{8}
ENGM_DFA	rx_search.part.0	x{40,60}y
ENGM_DFA	rx_search.part.0	.*=.*
ENGM_VM	none	a(b|c)+d
ENGM_VM	none	([01]*)1([01]{8})
ENGM_DFA	none	^abc
ENGM_VM	none	^(a|b)*c$
ENGM_DFA	rx_search.part.0	a.*b$
ENGM_DFA	rx_search.part.0	\d{3}-\d{4}
ENGM_DFA	rx_search.part.0	[[:alpha:]]+
ENGM_DFA	rx_search.part.0	(?i)HeLLo
ENGM_VM	none	(a)(b)(c)
ENGM_VM	none	(foo|bar)+baz
ENGM_VM	none	((a)|b){0,40}c
ENGM_VM	none	(x)(?:a|bc)+d
ENGM_DFA	rx_search.part.0	a{2,5}b
ENGM_VM	none	(\w+)\s+(\w+)
ENGM_VM	none	(a*)*b
ENGM_VM	none	(ab)+
ENGM_DFA	rx_search.part.0	colou?r
ENGM_DFA	rx_search.part.0	[^\n]*END
